epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,789.274,0.76136,0.51775,1.00592,0.87606,0.98429,0.97215,0.69153,1.2222,0.49729,1.40712,0.00058915,0.00058915,0.00058915
85,798.672,0.70494,0.48024,0.99596,0.92357,0.9795,0.97855,0.70256,1.16881,0.59032,1.24882,0.0005842,0.0005842,0.0005842
86,809.2,0.737,0.48885,1.01409,0.95087,0.93082,0.98836,0.69674,1.22402,0.55863,1.3254,0.00057925,0.00057925,0.00057925
87,819.594,0.72786,0.5064,1.00825,0.90683,0.9503,0.97279,0.74254,1.1215,0.56576,1.22825,0.0005743,0.0005743,0.0005743
88,830.389,0.71455,0.50142,1.0005,0.96577,0.92447,0.98258,0.69046,1.09437,0.49446,1.32817,0.00056935,0.00056935,0.00056935
89,839.664,0.69162,0.46503,0.99167,0.92517,0.95441,0.96411,0.69234,1.19056,0.54752,1.24175,0.0005644,0.0005644,0.0005644
90,848.438,0.67033,0.46965,0.97442,0.91272,0.92807,0.97731,0.70211,1.22699,0.49258,1.42537,0.00055945,0.00055945,0.00055945
91,857.309,0.68235,0.4654,0.98681,0.94098,0.89212,0.96285,0.68034,1.27133,0.55998,1.51597,0.0005545,0.0005545,0.0005545
92,866.141,0.69543,0.47038,0.98666,0.90637,0.90523,0.95468,0.70572,1.06077,0.53657,1.16999,0.00054955,0.00054955,0.00054955
93,874.805,0.70596,0.51063,1.00397,0.89662,0.88562,0.95114,0.68877,1.0217,0.53756,1.21186,0.0005446,0.0005446,0.0005446
94,883.683,0.68035,0.45108,0.98264,0.91627,0.94698,0.98505,0.70776,1.07843,0.56005,1.25602,0.00053965,0.00053965,0.00053965
95,892.369,0.69588,0.48614,0.99758,0.96111,0.93398,0.9854,0.70398,1.12049,0.47588,1.26607,0.0005347,0.0005347,0.0005347
96,901.053,0.69109,0.47161,0.98269,0.93679,0.93113,0.97374,0.69365,1.12376,0.52013,1.25242,0.00052975,0.00052975,0.00052975
97,909.762,0.68793,0.46798,1.00445,0.97399,0.93857,0.98356,0.71903,1.13472,0.50141,1.42827,0.0005248,0.0005248,0.0005248
98,918.616,0.69416,0.47633,0.98292,0.9314,0.908,0.95644,0.67046,1.15954,0.50768,1.37941,0.00051985,0.00051985,0.00051985
99,927.413,0.70606,0.47684,1.0006,0.92829,0.92644,0.97269,0.68621,1.1679,0.58579,1.30378,0.0005149,0.0005149,0.0005149
100,936.378,0.67373,0.44094,0.9861,0.87868,0.9331,0.95131,0.68887,1.03566,0.65799,1.13357,0.00050995,0.00050995,0.00050995
101,945.073,0.6669,0.45157,0.97868,0.93895,0.93706,0.98176,0.72348,1.15281,0.54532,1.33502,0.000505,0.000505,0.000505
102,953.757,0.69231,0.46242,0.98707,0.91402,0.9762,0.98448,0.72178,1.0859,0.48633,1.33533,0.00050005,0.00050005,0.00050005
103,962.399,0.66559,0.43752,0.96934,0.93834,0.92886,0.98225,0.73497,0.97848,0.55981,1.18748,0.0004951,0.0004951,0.0004951
104,970.925,0.66181,0.4568,0.97988,0.94769,0.88946,0.95233,0.70178,0.97877,0.52098,1.16382,0.00049015,0.00049015,0.00049015
105,979.471,0.622,0.42477,0.95015,0.86666,0.95909,0.97817,0.74205,0.95638,0.54045,1.12143,0.0004852,0.0004852,0.0004852
106,988.096,0.67141,0.45001,0.98911,0.94651,0.96727,0.98491,0.72958,0.98216,0.54248,1.15867,0.00048025,0.00048025,0.00048025
107,997.902,0.67093,0.44052,0.98608,0.87383,0.93687,0.96692,0.70236,1.12387,0.5086,1.38439,0.0004753,0.0004753,0.0004753
108,1008.17,0.67617,0.4394,0.98334,0.94991,0.9628,0.9815,0.71985,1.17929,0.4634,1.48412,0.00047035,0.00047035,0.00047035
109,1018.48,0.67696,0.44748,0.97277,0.91048,0.99147,0.98563,0.70652,1.16839,0.49439,1.40823,0.0004654,0.0004654,0.0004654
110,1028.6,0.64256,0.43896,0.97814,0.97724,0.88116,0.981,0.69166,1.25654,0.51675,1.44766,0.00046045,0.00046045,0.00046045
111,1038.76,0.6604,0.45496,0.97797,0.92457,0.9455,0.9813,0.69658,1.29714,0.50502,1.4814,0.0004555,0.0004555,0.0004555
